Operator Name,Certificate #,State,FAA Office,Phone,Email,Contacted,Notes
"Pathfinder Aviation, LLC.",P3TA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Petersburg Flying Service, LLC",PF1A,Alaska,AL05 - Juneau (JNU),,,No,
"Pirate Airworks, Inc",PJMC,Alaska,AL05 - Juneau (JNU),,,No,
Precision Air Inc,EMQC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Quicksilver Air, Inc.",QOFA,Alaska,AL01 - Fairbanks (FAI),,,No,
RAINBOW RIVER LODGE AVIATION LLC,9RRA,Alaska,AL03 - Anchorage  (ANC),,,No,
"RAM Aviation, LLC.",J6UA,Alaska,AL03 - Anchorage  (ANC),,,No,
REEVE AIR ALASKA LLC                              ,V99A,Alaska,AL03 - Anchorage  (ANC),,,No,
REGIONAL HELICOPTERS LLC,2YFA,Alaska,AL03 - Anchorage  (ANC),,,No,
RENFRO'S ALASKAN ADVENTURES INC,R59A,Alaska,AL03 - Anchorage  (ANC),,,No,
ROCKY MOUNTAIN REMODELING INC,9ROC,Alaska,AL03 - Anchorage  (ANC),,,No,
"ROMO, MARK AND JENNIFER",3WUC,Alaska,AL03 - Anchorage  (ANC),,,No,
ROTAK LLC,6R0A,Alaska,AL03 - Anchorage  (ANC),,,No,
RUSTS FLYING SERVICE INC,ERHA,Alaska,AL03 - Anchorage  (ANC),,,No,
"RYAN AIR, INC.",UATA,Alaska,AL03 - Anchorage  (ANC),,,No,
"Redemption, Inc",RI9A,Alaska,AL05 - Juneau (JNU),,,No,
"Ridgeline Aviation, Inc.",3RLA,Alaska,AL05 - Juneau (JNU),,,No,
"Rue, David",FXSC,Alaska,AL01 - Fairbanks (FAI),,,No,
SHEEP MOUNTAIN AIR LLC,SMAC,Alaska,AL03 - Anchorage  (ANC),,,No,
SHELDON AIR SERVICE LLC,EMWC,Alaska,AL03 - Anchorage  (ANC),,,No,
SILVERTIP AVIATION LLC,3SFC,Alaska,AL03 - Anchorage  (ANC),,,No,
"SKY TREKKING ALASKA, LLC",IUKA,Alaska,AL03 - Anchorage  (ANC),,,No,
SKYDANCE AVIATION LLC,5K1A,Alaska,AL03 - Anchorage  (ANC),,,No,
"SLOW FORK AIR, INC",FXCA,Alaska,AL01 - Fairbanks (FAI),,,No,
SNOW GOOSE AIRWAYS LLC,3SOC,Alaska,AL03 - Anchorage  (ANC),,,No,
SOLOY HELICOPTERS LLC,2SYA,Alaska,AL03 - Anchorage  (ANC),,,No,
"SOUND AVIATION, LLC",SN6C,Alaska,AL03 - Anchorage  (ANC),,,No,
SPERNAK AIRWAYS INC,ERGA,Alaska,AL03 - Anchorage  (ANC),,,No,
SPORTSMAN'S AIR SERVICE INC,J4HC,Alaska,AL03 - Anchorage  (ANC),,,No,
SUNDAY AIR TAXI LLC,9DGC,Alaska,AL03 - Anchorage  (ANC),,,No,
SUNLIGHT AVIATION LLC,JTEC,Alaska,AL03 - Anchorage  (ANC),,,No,
SWIFT FORK AIR INC,1KEC,Alaska,AL01 - Fairbanks (FAI),,,No,
"Scenic Mountain Air, Inc",LVKA,Alaska,AL05 - Juneau (JNU),,,No,
"Schuh, Rodney J.",R0RC,Alaska,AL03 - Anchorage  (ANC),,,No,
"Scott Air, LLC",V9SA,Alaska,AL05 - Juneau (JNU),,,No,
"Scott Aviation, LLC",K95A,Alaska,AL03 - Anchorage  (ANC),,,No,
"Sea Hawk Air, Inc",SHKC,Alaska,AL05 - Juneau (JNU),,,No,
"Seawind Aviation, Inc.",K5WA,Alaska,AL05 - Juneau (JNU),,,No,
"Seward Air Taxi, LLC",2JCA,Alaska,AL05 - Juneau (JNU),,,No,
"Shade, Eric Loren",SAYC,Alaska,AL03 - Anchorage  (ANC),,,No,
Shadow Aviation Inc,QS9A,Alaska,AL01 - Fairbanks (FAI),,,No,
"Smokey Bay Air, Inc",X53A,Alaska,AL05 - Juneau (JNU),,,No,
"Sourdough Air Service, Inc.",SQDA,Alaska,AL01 - Fairbanks (FAI),,,No,
South Bay Ltd,YB9C,Alaska,AL03 - Anchorage  (ANC),,,No,
South Side Corporation,FF5A,Alaska,AL03 - Anchorage  (ANC),,,No,
"Southeast Aerial, LLC",4S5C,Alaska,AL05 - Juneau (JNU),,,No,
"Southeast Aviation, LLC",S03A,Alaska,AL05 - Juneau (JNU),,,No,
"Steller Air Service, LLC",E8DC,Alaska,AL05 - Juneau (JNU),,,No,
